awokado
arbuz
ananas
arame (wodorosty / glony)
amarantus (nasiona)
andruty
anyż
ajowan
asafetyda
aronia
ajwar
aromat do ciast
agar agar
alkohol
ananasy / sok z ananasów
agrest
bez czarny
bazylia
bataty (ziemniaki czerwone, slodkie)
bób
brukselka
brokuły
bakłażan / oberżyna
buraki
botwina
brukiew
boczniaki
brokuły mrożone
banany
brzoskwinie
bułka tarta
biszkopty
buraki konserwowe
bułka razowa
bułka sucha (czerstwa)
bułki / kajzerki
bagietka
borówki czerwone / brusznice
bita śmietana
bulion / kostka warzywna
bulion / wywar grzybowy
bakalie
budyń
borowiki
brzoskwinie
brzoskwinie z puszki / sok z brzoskwin
czosnek w ząbkach
czosnek marynowany
czosnek granulowany
czereśnie
camembert
cukier trzcinowy
cukier puder
cukier żelujący
cukier brązowy / nierafinowany
cukier migdałowy
cukier waniliowy
cząber
cukinia / kabaczek
cykoria
cebula biała
cebula czerwona
cebulki marynowane
cebula suszona / prazona
cebula granulowana
czekolada
czekolada biał
czekolada gorzka / deserowa
czekolada mleczna
czekolada w proszku
chleb
chleb na zakwasie
chleb tostowy
chleb chrupki
chleb suchy (czerstwy)
chleb żytni
chleb czarny / pumpernikel
chleb pełnoziarnisty
ciecierzyca / cieciorka / groch włoski
cytryna / sok / skórka z cytryny
ciastka
ciastka ryżowe
ciastka kruche
chleb razowy
chleb pytlowy
ciabata
curry
cynamon
czarnuszka
czubrica
cukierki
ciasto francuskie
chrzan
chrzan tarty
chmiel
chałwa
ćwikła
dynia
daktyle
daktyle suszone
dżem
drożdże
ementaler / emmentaler
estragon
endywia / cykoria endywia
edamame / młoda soja
fruktoza
fasola
fasola czerwona
fasola perłowa
fasola mung
fasola czarna
fasola Jaś
fasola biała
fasola nakrapiana
fasola adzuki
fasolka szparagowa
fasolka szparagowa konserwowa
fasola konserwowa (z puszki)
fenkuł / koper włoski
figi świeże
figi suszone
gruszki
gruszki suszone
groch
groszek zielony
groszek konserwowy
groszek zielony mrożony
groszek cukrowy
grzyby
grzyby chińskie
grzyby leśne
grzyby mun
grzyby mrożone
grzyby pasteryzowane
grzyby suszone
grzyby marynowne
grzyby słomiane / słomy (azjatyckie)
granulat sojowy
grejpfrut
granat
grahamka
garam masala
gałka muszkatołowa
gorczyca
goździki całe
goździki mielone
gomasio (sól sezamowa)
grzanki
groszek ptysiowy
guma do żucia
guma guar
granola
galaretka
galaretka bez żelatyny
ghee (masło sklarowane)
gąski
hyzop lekarski
hijiki (wodorosty / glony)
herbatniki
harissa (ostra pasta z papryki)
herbata
herbata zielona
herbata ziołowa
herbata owocowa
herbata czarna
herbata biała
herbata czerwona
imbir
imbir kandyzowany
imbir marynowany / konserwowy
jabłka
jabłka suszone
jarmuż
jęczmień (ziarno)
jałowiec
jeżyny
jarzynka (vegeta itd)
jagody czarne / czernice
jajka 
